"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:46 UTC 2026","Mon May 18 21:00:46 UTC 2026","60","","TC-002: Получение конкретного post по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetPostByIdTest","getRequestCheckIdOfObject","TC-002: id объекта равен 1",""
"passed","Mon May 18 21:00:58 UTC 2026","Mon May 18 21:00:58 UTC 2026","177","","TC-036: Некорректное значение boolean-фильтра","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.IncorrectValueOfBooleanFilterTest","checkThatResponseIsAnEmptyArray","TC-036: Ожидается пустой массив или игнорирование фильтра в ожидаемом поведении",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","83","","TC-008: Получение photo по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetPhotoByIdTest","getRequestCheckStatusCode","TC-008: Статус-код 200",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:49 UTC 2026","75","","TC-092: Удаление comment","","org.izuum.jsonPlaceholder.apiTests.deleteDataTests.DeleteCommentTest","checkStatusCodeOfDeleteComment","TC-092: Статус-код 200",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","104","","TC-001: Получение коллекции posts","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfPostsTest","getRequestCheckThatFirstElementHasFields","TC-001: Первый элемент имеет поля id, title, body, userId",""
"passed","Mon May 18 21:00:56 UTC 2026","Mon May 18 21:00:56 UTC 2026","193","","TC-058: Запрос post с невалидным id строкового типа","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetPostByInvalidIdTest","checkExpectedNotServerError","TC-058: Статус-код не 5хх",""
"passed","Mon May 18 21:00:47 UTC 2026","Mon May 18 21:00:47 UTC 2026","73","","TC-005: Получение коллекции albums","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfAlbumsTest","getRequestCheckResponseIsAnArray","TC-005: Ответ является массивом",""
"passed","Mon May 18 21:00:56 UTC 2026","Mon May 18 21:00:56 UTC 2026","70","","TC-052: Запрос post с несуществующим id","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetPostByNotExistsIdTest","checkExpectedNotFoundAndEmptyBody","TC-052: Ожидается ошибка 404 и пустое тело объекта",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","138","","Проверка структуры объектов на каждом эндпоинте","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckStructureOfObjectsTest","checkEqualityOfFieldsOfPosts","TC-022: Проверка однородности массива posts",""
"passed","Mon May 18 21:00:44 UTC 2026","Mon May 18 21:00:44 UTC 2026","84","","TC-040: Получить photos вложенного ресурса для album","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.GetPhotosOfNestedResourcesForAlbumsTest","checkThatEveryElementsHasAlbumIdIsOne","TC-040: Каждый элемент имеет albumId=1",""
